Server,DatabaseName,Schema,TableName,View,Merge_Field
Xrpswpdbspgu04.hca.corpad.net,PracticeVelocity_Stage,dbo,ERAFile_CheckType_BPR,PV_StgERAFileCheckTypeBPR,bpr_id
Xrpswpdbspgu04.hca.corpad.net,PracticeVelocity_Stage,dbo,ERAFile_Claim,PV_StgERAFileClaim,claim_id
Xrpswpdbspgu04.hca.corpad.net,PracticeVelocity_Stage,dbo,ERAFile_ClaimLine,PV_StgERAFileClaimLine,claimline_id
Xrpswpdbspgu04.hca.corpad.net,PracticeVelocity_Stage,dbo,ERAFile_Claimline_Allowed,PV_StgERAFileClaimlineAllowed,Allowed_id
Xrpswpdbspgu04.hca.corpad.net,PracticeVelocity_Stage,dbo,ERAFile_Claimline_CARC,PV_StgERAFileClaimlineCARC,CARC_id
Xrpswpdbspgu04.hca.corpad.net,PracticeVelocity_Stage,dbo,ERAFile_Claimline_RARC,PV_StgERAFileClaimlineRARC,RARC_id
Xrpswpdbspgu04.hca.corpad.net,PracticeVelocity_Stage,dbo,ERAFile_ClaimPatient,PV_StgERAFileClaimPatient,claim_patient_id
Xrpswpdbspgu04.hca.corpad.net,PracticeVelocity_Stage,dbo,ERAFile_GS,PV_StgERAFileGS,GS_id
Xrpswpdbspgu04.hca.corpad.net,PracticeVelocity_Stage,dbo,ERAFile_FileName,PV_StgERAFileName,fileid
Xrpswpdbspgu04.hca.corpad.net,PracticeVelocity_Stage,dbo,ERAFile_Payer,PV_StgERAFilePayer,Payer_id
Xrpswpdbspgu04.hca.corpad.net,PracticeVelocity_Stage,dbo,ERAFile_TransactionNumber,PV_StgERAFileTransactionNumber,TRN_id
xrpswpdbspgu04.hca.corpad.net,SSP_Claim_DW,dbo,dwcRefCoidGLDept,ECW_RefCoidMOR,
Xrpswpdbspgu04.hca.corpad.net,Eom_History,dbo,dwcRprtPEClaimsOnHoldRollForward_202507,ECW_RprtPEClaimsOnHoldRollForward,SnapShotDate
Xrpswpdbspgu04.hca.corpad.net,Eom_History,dbo,dwcRprtARComp_202507,ECW_RprtARComp,SnapShotDate
Xrpswpdbspgu04.hca.corpad.net,Eom_History,dbo,dwcRprtARCompMOR_202507,ECW_RprtARCompMOR,SnapShotDate
Xrpswpdbspgu04.hca.corpad.net,Eom_History,dbo,dwcRprtArtivaPESnapshot_202507,Artiva_RprtPESnapshot,SnapShotDate
Xrpswpdbspgu04.hca.corpad.net,Eom_History,dbo,dwcRprtArtivaPool_202507,Artiva_RprtPool,SnapShotDate
Xrpswpdbspgu04.hca.corpad.net,Eom_History,dbo,dwcRprtArtivaTierAmt_202507,Artiva_RprtTierAmt,SnapShotDate
