Server,DatabaseName,Schema,TableName,View,Merge_Field
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,GCPOOL,Artiva_StgGCPOOL,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,GCPOOLGENINFO,Artiva_StgGCPOOLGENINFO,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,GCPOOLGENINFO_HISTORY,Artiva_StgGCPOOLGENINFO_HISTORY,"SnapShotDate, Pool"
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCACCOUNT,Artiva_StgHCACCOUNT,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCACCOUNT_HCACNOTES,Artiva_StgHCACCOUNT_HCACNOTES,"HCACID, NOTE_CNT"
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCACTIONCODE,Artiva_StgHCACTIONCODE,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCACTIONCODE_HCACTNOTES,Artiva_StgHCACTIONCODE_HCACTNOTES,"HCACTID, NOTE_CNT"
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCACTIONHIST,Artiva_StgHCACTIONHIST,HCACTHID
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCCDDETAILLOG,Artiva_StgHCCDDETAILLOG,HCCDACID
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCCLAIMCODES,Artiva_StgHCCLAIMCODES,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCCLCATEGORY,Artiva_StgHCCLCATEGORY,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCCLSUBCATEGORY,Artiva_StgHCCLSUBCATEGORY,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCDCCATEGORY,Artiva_StgHCDCCATEGORY,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCDSSUBCATEGORY,Artiva_StgHCDSSUBCATEGORY,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCDTTYPES,Artiva_StgHCDTTYPES,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCENCOUNTER,Artiva_StgHCENCOUNTER,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCFACILITY,Artiva_StgHCFACILITY,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCPAYER,Artiva_StgHCPAYER,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCPERSON_BadAddress,Artiva_StgHCPERSON_BadAddress,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCRESULTCODE,Artiva_StgHCRESULTCODE,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCSTATUS,Artiva_StgHCSTATUS,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCSUBUNIT,Artiva_StgHCSUBUNIT,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCTIMEACCT,Artiva_StgHCTIMEACCT,HCTIMEKEY
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,HCUSERSTATS,Artiva_StgHCUSERSTATS,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,PeNotesHistory,Artiva_StgPENotesHistory,PeNotesHistoryKey
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,PSADJCODES,Artiva_StgPSADJCODES,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,PSADJUSTREQ,Artiva_StgPSADJUSTREQ,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,PSAPPRVLTABLES,Artiva_StgPSAPPRVLTABLES,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,PSAPPRVLTIERS,Artiva_StgPSAPPRVLTIERS,
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,PSCCUCOIDMASTER,Artiva_StgPSCCUCOIDMASTER,PSCCUCOIDNUM
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,PSCCUCOIDRULES,Artiva_StgPSCCUCOIDRULES,PSCCUCOIDRULEKEY
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,PSCCUPICKLISTMAINT,Artiva_StgPSCCUPICKLISTMAINT,"PSCCUPKLSTFIELDNM, PSCCUPKLSTFLDVALUE"
Xrpswpdbspgu04.hca.corpad.net,Artiva_DW,dbo,PSCCUPROVIDERRULES,Artiva_StgPSCCUPROVIDERRULES,PSCCUPRRULEKEY
