Database,Table
edwra_staging,cclog24mcrip
edwra_staging,cclog24mcripb
edwra_staging,cclog24mcripbcah
edwra_staging,cclog24mcripcah
edwra_staging,cclog24mcripf
edwra_staging,cclog24mcripswb
edwra_staging,cclog24mcrirf_d
edwra_staging,cclog24mcrop
edwra_staging,cclog24mcropcah
edwra_staging,cclog24mcrsnf
edwra_staging,cclog24mcrltch
edwra_staging,cclog65mcrip
edwra_staging,cclog65mcripb
edwra_staging,cclog65mcripbcah
edwra_staging,cclog65mcripcah
edwra_staging,cclog65mcripf
edwra_staging,cclog65mcripswb
edwra_staging,cclog65mcrirf
edwra_staging,cclog65mcrop
edwra_staging,cclog65mcropcah
edwra_staging,cclog65mcrsnf
edwra_staging,cclog65mcrltch
