Database,Table,ToBeTested
edwhr,address,True
edwhr,bi_executive_current,False
edwhr,bi_executive_termination,False
edwhr,bi_executive_vacancy,False
edwhr,candidate,True
edwhr,candidate_answer,True
edwhr,candidate_detail,True
edwhr,candidate_onboarding,True
edwhr,candidate_onboarding_event,True
edwhr,candidate_onboarding_resource,True
edwhr,candidate_person,True
edwhr,candidate_profile,True
edwhr,candidate_question,True
edwhr,candidate_question_answer,True
edwhr,candidate_work_history,True
edwhr,candidate_work_history_detail,True
edwhr,communication_device,True
edwhr,department,False
edwhr,employee,False
edwhr,employee_action_detail,False
edwhr,employee_code_detail,False
edwhr,employee_competency_detail,False
edwhr,employee_detail,False
edwhr,employee_development_activity,False
edwhr,employee_education_profile,False
edwhr,employee_goal_detail,False
edwhr,employee_performance_detail,False
edwhr,employee_person,False
edwhr,employee_position,False
edwhr,employee_roster,False
edwhr,employee_talent_profile,False
edwhr,employee_work_history,False
edwhr,fact_employee_availability,False
edwhr,fact_hr_metric,False
edwhr,gl_lawson_dept_crosswalk,False
edwhr,hr_employee_history,False
edwhr,job_class,False
edwhr,job_code,False
edwhr,job_position,False
edwhr,job_template,True
edwhr,junc_candidate_address,True
edwhr,junc_candidate_communication_device,True
edwhr,junc_employee_recruitment_user,True
edwhr,junc_employee_status,False
edwhr,junc_recruitment_job_board,False
edwhr,junc_submission_tracking_motive,True
edwhr,offer,True
edwhr,offer_detail,True
edwhr,offer_status,True
edwhr,person_action,False
edwhr,process_level,False
edwhr,recruitment_job,True
edwhr,recruitment_job_detail,True
edwhr,recruitment_job_parameter_detail,True
edwhr,recruitment_position,True
edwhr,recruitment_requisition,True
edwhr,recruitment_requisition_history,True
edwhr,recruitment_requisition_status,True
edwhr,recruitment_user,True
edwhr,ref_action_reason,False
edwhr,ref_bi_key_talent,False
edwhr,ref_candidate_question_type,False
edwhr,ref_coid_hospital_category,False
edwhr,ref_competency,False
edwhr,ref_competency_group,False
edwhr,ref_element_definition,False
edwhr,ref_element_definition_selection,False
edwhr,ref_element_definition_type,False
edwhr,ref_element_detail,False
edwhr,ref_email_to_hr_status,False
edwhr,ref_future_role_attribute,False
edwhr,ref_hr_code,False
edwhr,ref_hr_demographic,False
edwhr,ref_hr_operations,False
edwhr,ref_integrated_lob,False
edwhr,ref_job_board,False
edwhr,ref_job_board_type,False
edwhr,ref_job_schedule,False
edwhr,ref_job_template_status,False
edwhr,ref_lawson_element,False
edwhr,ref_lawson_location_hospital_category,False
edwhr,ref_leadership_level,False
edwhr,ref_location,False
edwhr,ref_location_willingness,False
edwhr,ref_motive,False
edwhr,ref_offer_status,False
edwhr,ref_onboarding_event_type,False
edwhr,ref_onboarding_tour,False
edwhr,ref_onboarding_tour_status,False
edwhr,ref_onboarding_workflow,False
edwhr,ref_onboarding_workflow_status,False
edwhr,ref_overtime_status,False
edwhr,ref_percentage_range,False
edwhr,ref_performance_category,False
edwhr,ref_performance_period,False
edwhr,ref_performance_plan,False
edwhr,ref_performance_rating,False
edwhr,ref_performance_rating_box_score,False
edwhr,ref_performance_status,False
edwhr,ref_posting_board_type,False
edwhr,ref_posting_status,False
edwhr,ref_probability_potential,False
edwhr,ref_process_level_union,False
edwhr,ref_profile_medium,False
edwhr,ref_question_type,False
edwhr,ref_recruitment_location,False
edwhr,ref_recruitment_source,False
edwhr,ref_recruitment_source_type,False
edwhr,ref_requisition_status,False
edwhr,ref_source_request_status,False
edwhr,ref_submission_event,False
edwhr,ref_submission_event_category,False
edwhr,ref_submission_source,False
edwhr,ref_submission_state,False
edwhr,ref_submission_status,False
edwhr,ref_submission_step,False
edwhr,ref_survey,False
edwhr,ref_timeframe,False
edwhr,ref_workflow,False
edwhr,requisition,False
edwhr,requisition_approval_stage,False
edwhr,requisition_department,False
edwhr,requisition_position,False
edwhr,requisition_status,False
edwhr,respondent_detail,False
edwhr,sourcing_request,True
edwhr,status,False
edwhr,submission,True
edwhr,submission_state,True
edwhr,submission_tracking,True
edwhr,submission_tracking_status,True
edwhr,supervisor,False
edwhr,survey_question,False
edwhr,survey_response,False
edwhr_staging,ref_sk_type,False
edwhr_staging,ref_sk_xwlk,False
