Database,Table,ToBeTested
edwhr,candidate,False
edwhr,candidate_person,False
edwhr,candidate_profile,False
edwhr,employee,False
edwhr,recruitment_requisition,False
edwhr,requisition,False
edwhr,submission,False
edwhr,submission_tracking,False
edwhr,submission_tracking_status,False
edwhr,ref_onboarding_event_type,False
edwhr,ref_onboarding_tour,False
edwhr,ref_onboarding_tour_status,False
edwhr,ref_onboarding_workflow,False
edwhr,ref_onboarding_workflow_status,False
edwhr,ref_submission_status,False
edwhr_staging,ref_sk_xwlk,False
edwhr,candidate_onboarding_event,True
edwhr,candidate_onboarding,True
edwhr,candidate_onboarding_resource,True
edwhr,ref_email_to_hr_status,False
edwhr_staging,ats_cust_resourcescreening_stg,False
edwhr_staging,ats_cust_resourcescreeningpackage_stg,False
edwhr_staging,ats_hcm_resourcetransition_stg,False
