Database,Table,ToBeTested
edwhr,department,FALSE
edwhr,employee,FALSE
edwhr,employee_code_detail,FALSE
edwhr,employee_detail,FALSE
edwhr,employee_person,FALSE
edwhr,employee_position,FALSE
edwhr,employee_roster,FALSE
edwhr,fact_hr_metric,FALSE
edwhr,gl_lawson_dept_crosswalk,FALSE
edwhr,hr_employee_history,FALSE
edwhr,job_class,FALSE
edwhr,job_code,FALSE
edwhr,job_position,FALSE
edwhr,junc_employee_status,FALSE
edwhr,person_action,FALSE
edwhr,process_level,FALSE
edwhr,ref_action_reason,FALSE
edwhr,ref_bi_key_talent,FALSE
edwhr,ref_coid_hospital_category,FALSE
edwhr,ref_hr_code,FALSE
edwhr,ref_hr_operations,FALSE
edwhr,ref_integrated_lob,FALSE
edwhr,ref_lawson_element,FALSE
edwhr,ref_location,FALSE
edwhr,ref_question_type,FALSE
edwhr,ref_survey,FALSE
edwhr,respondent_detail,FALSE
edwhr,status,FALSE
edwhr,supervisor,FALSE
edwhr,survey_question,FALSE
edwhr,survey_response,FALSE
