Database,Table,ToBeTested
edwhr,address,FALSE
edwhr,candidate,FALSE
edwhr,candidate_answer,FALSE
edwhr,candidate_detail,FALSE
edwhr,candidate_person,FALSE
edwhr,candidate_profile,FALSE
edwhr,candidate_question,FALSE
edwhr,candidate_question_answer,FALSE
edwhr,candidate_work_history,FALSE
edwhr,candidate_work_history_detail,FALSE
edwhr,communication_device,FALSE
edwhr,employee,FALSE
edwhr,job_code,FALSE
edwhr,job_position,FALSE
edwhr,job_template,FALSE
edwhr,junc_candidate_address,FALSE
edwhr,junc_candidate_communication_device,FALSE
edwhr,junc_employee_recruitment_user,FALSE
edwhr,junc_recruitment_job_board,FALSE
edwhr,junc_submission_tracking_motive,FALSE
edwhr,offer,FALSE
edwhr,offer_detail,FALSE
edwhr,offer_status,FALSE
edwhr,recruitment_job,FALSE
edwhr,recruitment_job_detail,FALSE
edwhr,recruitment_job_parameter_detail,FALSE
edwhr,recruitment_position,FALSE
edwhr,recruitment_requisition,FALSE
edwhr,recruitment_requisition_history,FALSE
edwhr,recruitment_requisition_status,FALSE
edwhr,recruitment_user,FALSE
edwhr,ref_candidate_question_type,FALSE
edwhr,ref_element_definition,FALSE
edwhr,ref_element_definition_selection,FALSE
edwhr,ref_element_definition_type,FALSE
edwhr,ref_element_detail,FALSE
edwhr,ref_job_board,FALSE
edwhr,ref_job_board_type,FALSE
edwhr,ref_job_schedule,FALSE
edwhr,ref_job_template_status,FALSE
edwhr,ref_motive,FALSE
edwhr,ref_offer_status,FALSE
edwhr,ref_overtime_status,FALSE
edwhr,ref_profile_medium,FALSE
edwhr,ref_recruitment_location,FALSE
edwhr,ref_recruitment_source,FALSE
edwhr,ref_recruitment_source_type,FALSE
edwhr,ref_requisition_status,FALSE
edwhr,ref_source_request_status,FALSE
edwhr,ref_submission_event,FALSE
edwhr,ref_submission_event_category,FALSE
edwhr,ref_submission_source,FALSE
edwhr,ref_submission_state,FALSE
edwhr,ref_submission_status,FALSE
edwhr,ref_submission_step,FALSE
edwhr,ref_workflow,FALSE
edwhr,requisition,FALSE
edwhr,requisition_position,FALSE
edwhr,sourcing_request,FALSE
edwhr,submission,FALSE
edwhr,submission_state,FALSE
edwhr,submission_tracking,FALSE
edwhr,submission_tracking_status,FALSE
edwhr_staging,ref_sk_xwlk,FALSE
