Database,Table
edwra_staging,brbglx
edwra_staging,gl_report_year
edwra_staging,gl_reconciliation_error_log
edwra,gr_gl_recn
edwra,cc_gr_eom
edwra,pagl_transaction
edwra_ac,excel_audit
edwra_ac,filenames
edwra_ac,folder_audit
edwclm,fact_charge
edwclm,fact_claim
edwclm,fact_claim_insurance
edwclm,fact_claim_patient
edwclm,fact_claim_physician
edwclm,fact_code
edwclm,lu_billing_provider
edwclm,lu_pay_to_provider
edwrmt,ep_rmt_recon
edwrmt,fact_master_remit
edwrmt,fact_patient_qual
edwrmt,fact_patient_remit
edwrmt,fact_patient_remit_adj
edwrmt,fact_svc_line
edwrmt,fact_svc_line_claim_adj
edwrmt,lu_remit_payer
edwrmt,lu_remit_provider
