Dag_ID,Source,Execution_Type,Scheduled_Time,Scheduled_Frequency,Scheduled_Day_of_Month,Scheduled_Day_of_Week,Triggerred_From_DAG
dag_ingest_navadhoc_sqlserver_daily_01,Navadhoc,Scheduled,1:00,Daily,,,
dag_integrate_navadhoc_sqlserver_daily_01,Navadhoc,Triggerred,,,,,dag_ingest_navadhoc_sqlserver_daily_01
dag_ingest_navadhoc_sqlserver_daily_02,Navadhoc,Triggerred,,,,,dag_integrate_navadhoc_sqlserver_daily_01
dag_integrate_navadhoc_sqlserver_daily_02,Navadhoc,Triggerred,,,,,dag_ingest_navadhoc_sqlserver_daily_02
dag_ingest_navadhoc_sqlserver_daily_03,Navadhoc,Scheduled,2:00,Daily,,,
dag_integrate_navadhoc_sqlserver_daily_03,Navadhoc,Triggerred,,,,,dag_ingest_navadhoc_sqlserver_daily_03
dag_ingest_navadhoc_sqlserver_daily_04,Navadhoc,Triggerred,,,,,dag_integrate_navadhoc_sqlserver_daily_02
dag_integrate_navadhoc_sqlserver_daily_04,Navadhoc,Triggerred,,,,,dag_ingest_navadhoc_sqlserver_daily_04
dag_ingest_varianedw_sqlserver_daily_01,VarianEDW,Scheduled,5:15,Daily,,,
dag_integrate_varianedw_sqlserver_daily_01,VarianEDW,Triggerred,,,,,dag_ingest_varianedw_sqlserver_daily_01
dag_integrate_varianedw_sqlserver_monthly_02,VarianEDW,Scheduled,5:00,Monthly,14,,
dag_ingest_metriq_sqlserver_daily_01,Metriq,Scheduled,1:00,Daily,,,
dag_integrate_metriq_sqlserver_daily_01,Metriq,Triggerred,,,,,dag_ingest_metriq_sqlserver_daily_01
dag_ingest_metriq_sqlserver_daily_02,Metriq,Scheduled,2:30,Daily,,,
dag_ingest_opol_sqlserver_daily_01,Metriq,Triggerred,,,,,dag_ingest_metriq_sqlserver_daily_02
dag_integrate_metriq_sqlserver_daily_02,Metriq,Triggerred,,,,,dag_ingest_opol_sqlserver_daily_01
dag_ingest_metriq_sqlserver_daily_03,Metriq,Triggerred,,,,,dag_integrate_metriq_sqlserver_daily_02
dag_integrate_metriq_sqlserver_daily_03,Metriq,Triggerred,,,,,dag_ingest_metriq_sqlserver_daily_03
