Dag_Id,Triggered_Dag_Id
dag_ingest_metriq_sqlserver_daily_01,dag_integrate_metriq_sqlserver_daily_01
dag_ingest_metriq_sqlserver_daily_02,dag_ingest_opol_sqlserver_daily_01
dag_ingest_metriq_sqlserver_daily_03,dag_integrate_metriq_sqlserver_daily_03
dag_ingest_navadhoc_sqlserver_daily_01,dag_integrate_navadhoc_sqlserver_daily_01
dag_ingest_navadhoc_sqlserver_daily_02,dag_integrate_navadhoc_sqlserver_daily_02
dag_ingest_navadhoc_sqlserver_daily_03,dag_integrate_navadhoc_sqlserver_daily_03
dag_ingest_navadhoc_sqlserver_daily_04,dag_integrate_navadhoc_sqlserver_daily_04
dag_ingest_opol_sqlserver_daily_01,dag_integrate_metriq_sqlserver_daily_02
dag_ingest_varianedw_sqlserver_daily_01,dag_integrate_varianedw_sqlserver_daily_01
dag_integrate_metriq_sqlserver_daily_02,dag_ingest_metriq_sqlserver_daily_03
dag_integrate_navadhoc_sqlserver_daily_01,dag_ingest_navadhoc_sqlserver_daily_02
dag_integrate_navadhoc_sqlserver_daily_02,dag_ingest_navadhoc_sqlserver_daily_04
