Database_Name,Table_Name
edwcr,cancer_patient_detail
edwcr,cancer_patient_driver
edwcr,cancer_patient_id_abstraction
edwcr,cancer_patient_id_abstraction_detail
edwcr,cancer_patient_id_input
edwcr,cancer_patient_id_input_driver
edwcr,cancer_patient_id_output
edwcr,cancer_patient_id_output_driver
edwcr,cancer_patient_id_score
edwcr,cancer_patient_outcome_timeliness
edwcr,cancer_patient_tumor_driver
edwcr,cancer_patient_tumor_staging
edwcr,cancer_tumor_driver
edwcr,cdm_biopsy
edwcr,cdm_care_team
edwcr,cdm_ed_visit
edwcr,cdm_ed_visit_order_detail
edwcr,cdm_encounter
edwcr,cdm_imaging_result_detail
edwcr,cdm_lab_result_detail
edwcr,cdm_patient
edwcr,cdm_patient_diagnosis
edwcr,cdm_patient_history
edwcr,cdm_patient_medication
edwcr,cdm_patient_payor
edwcr,cdm_procedure_detail
edwcr,cdm_surgery
edwcr,cn_patient
edwcr,cn_patient_address
edwcr,cn_patient_biopsy
edwcr,cn_patient_brca_screening_assessment
edwcr,cn_patient_clinical_trial
edwcr,cn_patient_complication
edwcr,cn_patient_consultation
edwcr,cn_patient_contact
edwcr,cn_patient_contact_detail
edwcr,cn_patient_core_adherence
edwcr,cn_patient_diagnosis
edwcr,cn_patient_family_history
edwcr,cn_patient_genetics_testing
edwcr,cn_patient_heme
edwcr,cn_patient_heme_clinical_trial
edwcr,cn_patient_heme_diagnosis
edwcr,cn_patient_heme_disease_assess
edwcr,cn_patient_heme_disease_assess_detail
edwcr,cn_patient_heme_func_assess
edwcr,cn_patient_heme_risk_factor
edwcr,cn_patient_heme_transplant
edwcr,cn_patient_heme_treatment_regimen
edwcr,cn_patient_imaging
edwcr,cn_patient_lab_result
edwcr,cn_patient_medical_oncology
edwcr,cn_patient_mltp_disciplinary_meeting
edwcr,cn_patient_pathology_result
edwcr,cn_patient_phone_num
edwcr,cn_patient_procedure
edwcr,cn_patient_procedure_pathology_result
edwcr,cn_patient_radiation_oncology
edwcr,cn_patient_staging
edwcr,cn_patient_surgery
edwcr,cn_patient_surgery_reconstruction
edwcr,cn_patient_survivorship_plan_task
edwcr,cn_patient_test_result
edwcr,cn_patient_timeline
edwcr,cn_patient_tumor
edwcr,cn_person
edwcr,cn_physician_detail
edwcr,cn_physician_role
edwcr,cr_patient
edwcr,cr_patient_address
edwcr,cr_patient_contact
edwcr,cr_patient_date_driver
edwcr,cr_patient_diagnosis_detail
edwcr,cr_patient_history
edwcr,cr_patient_insurance
edwcr,cr_patient_medical_oncology
edwcr,cr_patient_phone_num
edwcr,cr_patient_radiation_oncology
edwcr,cr_patient_staging
edwcr,cr_patient_treatment
edwcr,cr_patient_tumor
edwcr,cr_patient_tumor_pathology_result
edwcr,cr_system_productivity_log
edwcr,cr_system_user
edwcr,fact_cancer_patient_financial
edwcr,fact_rad_onc_activity_billing
edwcr,fact_rad_onc_course_diagnosis
edwcr,fact_rad_onc_patient
