Dataset,Table,Status,Criteria,Mirroring_Type
edwim,ad_account,Mirrored,where 1=1,refresh_delins
edwim,ad_account_archive,Not Found in Analysis,where ad_account_user_id in (select ad_account_user_id from edwim.ad_account_archive WHERE Cast(DW_Last_Update_Date_Time AS DATE)>= Current_Date -4),cdc
edwim,ad_account_supplemental,Not Found in Analysis,where 1=1,refresh_delins
edwim,ad_group_user,Not Found in Analysis,where 1=1,refresh_delins
edwim,ad_member_group_hierarchy,Not Found in Analysis,where 1=1,refresh_delins
edwim,ad_member_group_hierarchy_archive,Not Found in Analysis,where Cast(DW_Last_Update_Date_Time AS DATE)>= Current_Date -4,cdc
edwim,ad_member_user,Not Found in Analysis,where 1=1,refresh_delins
edwim,ad_user_activity,Not Found in Analysis,where 1=1,refresh_delins
edwim,ad_user_activity_archive,Not Found in Analysis,where ad_account_user_id in (select ad_account_user_id from edwim.ad_user_activity_archive WHERE Cast(DW_Last_Update_Date_Time AS DATE)>= Current_Date -4),cdc
edwim,application_corporate_facility_xwalk,Not Found in Analysis,where 1=1,refresh_delins
edwim,cactus_dr_first_member_type_xwalk,Not Found in Analysis,where 1=1,refresh_delins
edwim,cactus_dr_first_specialty_xwalk,Not Found in Analysis,where 1=1,refresh_delins
edwim,cactus_mt_pd_auto_activity,Not Found in Analysis,where 1=1,refresh_delins
edwim,cactus_mt_pd_auto_activity_archive,Not Found in Analysis,where provider_cd in (select provider_cd from edwim.cactus_mt_pd_auto_activity_archive WHERE Cast(DW_Last_Update_Date_Time AS DATE)>= Current_Date -4),cdc
edwim,cactus_provider,Not Found in Analysis,where 1=1,refresh_delins
edwim,cactus_provider_archive,Not Found in Analysis,where 1=1,refresh_delins
edwim,epms_provider_activity,Not Found in Analysis,where 1=1,refresh_delins
edwim,epms_provider_activity_archive,Not Found in Analysis,where 1=1,refresh_delins
edwim,epms_provider_status,Not Found in Analysis,where 1=1,refresh_delins
edwim,epms_provider_status_archive,Not Found in Analysis,where 1=1,refresh_delins
edwim,esaf_facility_business_unit,Not Found in Analysis,where 1=1,refresh_delins
edwim,esaf_provisioning_event_time,Not Found in Analysis,where 1=1,refresh_delins
edwim,esaf_provisioning_event_time_archive,Not Found in Analysis,where esaf_user_id in (select esaf_user_id from edwim.esaf_provisioning_event_time_archive WHERE Cast(DW_Last_Update_Date_Time AS DATE)>= Current_Date -4),cdc
edwim,fact_person_detail,Not Found in Analysis,where 1=1,refresh_delins
edwim,hpf_account,Not Found in Analysis,where 1=1,refresh_delins
edwim,hpf_account_archive,Not Found in Analysis,where 1=1,refresh_delins
edwim,hpf_account_esaf_xwalk,Not Found in Analysis,where 1=1,refresh_delins
edwim,hpf_user_activity,Not Found in Analysis,where 1=1,refresh_delins
edwim,hpf_user_activity_archive,Not Found in Analysis,where 1=1,refresh_delins
edwim,im_person_activity,Not Found in Analysis,where 1=1,refresh_delins
edwim,im_person_activity_archive,Not Found in Analysis,where im_person_user_id in (select im_person_user_id from edwim.im_person_activity_archive WHERE Cast(DW_Last_Update_Date_Time AS DATE)>= Current_Date -4),cdc
edwim,im_provider_address,Not Found in Analysis,where 1=1,refresh_delins
edwim,junc_im_provider_address,Not Found in Analysis,where 1=1,refresh_delins
edwim,junc_im_provider_specialty,Not Found in Analysis,where 1=1,refresh_delins
edwim,junc_provider_degree,Not Found in Analysis,where 1=1,refresh_delins
edwim,junc_provider_language,Not Found in Analysis,where 1=1,refresh_delins
edwim,lawson_person,Not Found in Analysis,where 1=1,refresh_delins
edwim,lawson_person_archive,Not Found in Analysis,where lawson_person_user_id in (select lawson_person_user_id from edwim.lawson_person_archive WHERE Cast(DW_Last_Update_Date_Time AS DATE)>= Current_Date -4),cdc
edwim,lawson_user_activity,Not Found in Analysis,where 1=1,refresh_delins
edwim,lawson_user_activity_archive,Not Found in Analysis,where lawson_person_user_id in (select lawson_person_user_id from edwim.lawson_user_activity_archive WHERE Cast(DW_Last_Update_Date_Time AS DATE)>= Current_Date -4),cdc
edwim,meditech_user,Not Found in Analysis,where 1=1,refresh_delins
edwim,meditech_user_activity,Not Found in Analysis,where 1=1,refresh_delins
edwim,meditech_user_activity_archive,Not Found in Analysis,where mt_user_id in (select mt_user_id from edwim.meditech_user_activity_archive WHERE Cast(DW_Last_Update_Date_Time AS DATE)>= Current_Date -4),cdc
edwim,meditech_user_archive,Not Found in Analysis,where mt_user_id in (select mt_user_id from edwim.meditech_user_archive WHERE Cast(DW_Last_Update_Date_Time AS DATE)>= Current_Date -4),cdc
edwim,npi_registry_provider,Not Found in Analysis,where 1=1,refresh_delins
