Database,Table,TD_Count,DW_Last_Update_Time,Load_Rec_Count
edwra_staging,cclog24mcrip,603837,,603837
edwra_staging,cclog24mcripb,27693,,27693
edwra_staging,cclog24mcripbcah,99,,99
edwra_staging,cclog24mcripcah,3447,,3447
edwra_staging,cclog24mcripf,10512,,10512
edwra_staging,cclog24mcripswb,424,,424
edwra_staging,cclog24mcrirf_d,33277,,33277
edwra_staging,cclog24mcrltch,147,,147
edwra_staging,cclog24mcrop,2723465,,2723465
edwra_staging,cclog24mcropcah,74440,,74440
edwra_staging,cclog24mcrsnf,143,,143
edwra_staging,cclog65mcrip,42371,,42371
edwra_staging,cclog65mcripb,11933,,11933
edwra_staging,cclog65mcripbcah,55,,55
edwra_staging,cclog65mcripcah,400,,400
edwra_staging,cclog65mcripf,1435,,1435
edwra_staging,cclog65mcripswb,132,,132
edwra_staging,cclog65mcrirf,31626,,31626
edwra_staging,cclog65mcrltch,83,,83
edwra_staging,cclog65mcrop,151746,,151746
edwra_staging,cclog65mcropcah,19829,,19829
edwra_staging,cclog65mcrsnf,47,,47
